"step","time","part","epoch","loss","lr","segmentation_miou","segmentation_dice"
12480,"2024-08-13 23:06:36.357448","train",3,0.1309308111667633,8.698460110233394e-05,"",""
12600,"2024-08-13 23:08:00.443726","train",3,0.16015158593654633,8.671193000848017e-05,"",""
12720,"2024-08-13 23:09:24.521055","train",3,0.14912620186805725,8.64279240466889e-05,"",""
12840,"2024-08-13 23:10:48.572385","train",3,0.1649361550807953,8.613266039353674e-05,"",""
12960,"2024-08-13 23:12:12.647744","train",3,0.19233672320842743,8.582621928479693e-05,"",""
13068,"2024-08-13 23:43:57.907708","train",3,"","",0.5736038090586479,0.7285057337305252
13068,"2024-08-13 23:47:23.310721","val",3,"","",0.5748264832890759,0.7294649567850929
13080,"2024-08-13 23:47:34.269134","train",4,0.17057639360427856,8.550868399363587e-05,"",""
13200,"2024-08-13 23:48:58.100823","train",4,0.151291161775589,8.518014080798414e-05,"",""
13320,"2024-08-13 23:50:22.148925","train",4,0.14883989095687866,8.48406790070885e-05,"",""
13440,"2024-08-13 23:51:46.250748","train",4,0.14034494757652283,8.449039083725084e-05,"",""
13560,"2024-08-13 23:53:10.371294","train",4,0.17810770869255066,8.412937148676087e-05,"",""
13680,"2024-08-13 23:54:34.481527","train",4,0.18716363608837128,8.375771906002949e-05,"",""
13800,"2024-08-13 23:55:58.544468","train",4,0.1529427468776703,8.337553455092949e-05,"",""
13920,"2024-08-13 23:57:22.661896","train",4,0.15573835372924805,8.29829218153513e-05,"",""
14040,"2024-08-13 23:58:46.755449","train",4,0.1702335774898529,8.257998754298089e-05,"",""
14160,"2024-08-14 00:00:10.850119","train",4,0.1802155077457428,8.216684122830751e-05,"",""
14280,"2024-08-14 00:01:34.937389","train",4,0.160256490111351,8.174359514086951e-05,"",""
14400,"2024-08-14 00:02:58.965412","train",4,0.1645241677761078,8.131036429474576e-05,"",""
14520,"2024-08-14 00:04:23.074453","train",4,0.12259386479854584,8.08672664173015e-05,"",""
14640,"2024-08-14 00:05:47.171125","train",4,0.1811686009168625,8.041442191719672e-05,"",""
14760,"2024-08-14 00:07:11.361120","train",4,0.14335817098617554,7.995195385166594e-05,"",""
14880,"2024-08-14 00:08:35.447984","train",4,0.1369059681892395,7.947998789307843e-05,"",""
15000,"2024-08-14 00:09:59.598294","train",4,0.13879278302192688,7.899865229478751e-05,"",""
15120,"2024-08-14 00:11:23.767929","train",4,0.13289795815944672,7.850807785627866e-05,"",""
15240,"2024-08-14 00:12:47.873844","train",4,0.15328049659729004,7.800839788762574e-05,"",""
15360,"2024-08-14 00:14:11.961256","train",4,0.15026025474071503,7.749974817326488e-05,"",""
15480,"2024-08-14 00:15:36.051022","train",4,0.1351388692855835,7.69822669350961e-05,"",""
15600,"2024-08-14 00:17:00.082361","train",4,0.16645169258117676,7.645609479492247e-05,"",""
15720,"2024-08-14 00:18:24.241744","train",4,0.12726235389709473,7.592137473623712e-05,"",""
15840,"2024-08-14 00:19:48.366857","train",4,0.1827983260154724,7.537825206536853e-05,"",""
15960,"2024-08-14 00:21:12.467457","train",4,0.13101163506507874,7.482687437199461e-05,"",""
16080,"2024-08-14 00:22:36.588720","train",4,0.1498694121837616,7.426739148903622e-05,"",""
16200,"2024-08-14 00:24:00.659311","train",4,0.12599699199199677,7.369995545194116e-05,"",""
16320,"2024-08-14 00:25:24.690889","train",4,0.162515789270401,7.312472045736968e-05,"",""
16335,"2024-08-14 00:56:23.633258","train",4,"","",0.5742707091878232,0.729077053318193
16335,"2024-08-14 00:59:51.432388","val",4,"","",0.5754367151550549,0.7299891517012905
16440,"2024-08-14 01:01:07.251266","train",5,0.1425098031759262,7.254184282129256e-05,"",""
16560,"2024-08-14 01:02:31.345175","train",5,0.16846363246440887,7.195148093651345e-05,"",""
16680,"2024-08-14 01:03:55.405950","train",5,0.15230238437652588,7.135379522962673e-05,"",""
16800,"2024-08-14 01:05:19.447172","train",5,0.14010187983512878,7.074894811742274e-05,"",""
16920,"2024-08-14 01:06:43.511077","train",5,0.13227662444114685,7.013710396275217e-05,"",""
17040,"2024-08-14 01:08:07.572745","train",5,0.160129576921463,6.951842902986168e-05,"",""
17160,"2024-08-14 01:09:31.657788","train",5,0.13053007423877716,6.889309143921275e-05,"",""
17280,"2024-08-14 01:10:55.778314","train",5,0.18797442317008972,6.826126112179616e-05,"",""
17400,"2024-08-14 01:12:19.948832","train",5,0.1462213397026062,6.762310977295447e-05,"",""
17520,"2024-08-14 01:13:43.976571","train",5,0.11587841808795929,6.697881080572506e-05,"",""
17640,"2024-08-14 01:15:08.177709","train",5,0.11965712159872055,6.63285393037164e-05,"",""
17760,"2024-08-14 01:16:32.268514","train",5,0.13173632323741913,6.567247197353022e-05,"",""
17880,"2024-08-14 01:17:56.502339","train",5,0.1423003375530243,6.501078709674298e-05,"",""
18000,"2024-08-14 01:19:20.676531","train",5,0.1634020358324051,6.434366448145893e-05,"",""
18120,"2024-08-14 01:20:44.750119","train",5,0.17139935493469238,6.36712854134486e-05,"",""
18240,"2024-08-14 01:22:08.910715","train",5,0.1468925178050995,6.299383260688585e-05,"",""
18360,"2024-08-14 01:23:33.094444","train",5,0.11305733770132065,6.231149015469634e-05,"",""
18480,"2024-08-14 01:24:57.169093","train",5,0.12659810483455658,6.162444347853184e-05,"",""
18600,"2024-08-14 01:26:21.247267","train",5,0.13863465189933777,6.0932879278383114e-05,"",""
18720,"2024-08-14 01:27:45.333917","train",5,0.13007865846157074,6.0236985481845566e-05,"",""
18840,"2024-08-14 01:29:09.325408","train",5,0.17205429077148438,5.9536951193051265e-05,"",""
18960,"2024-08-14 01:30:33.454130","train",5,0.16339707374572754,5.8832966641281236e-05,"",""
19080,"2024-08-14 01:31:57.658050","train",5,0.12340472638607025,5.812522312927206e-05,"",""
19200,"2024-08-14 01:33:21.732232","train",5,0.16473528742790222,5.7413912981230744e-05,"",""
19320,"2024-08-14 01:34:45.903083","train",5,0.11182618141174316,5.6699229490571925e-05,"",""
19440,"2024-08-14 01:36:09.970890","train",5,0.1593029499053955,5.598136686739189e-05,"",""
19560,"2024-08-14 01:37:34.070794","train",5,0.15047110617160797,5.5260520185693216e-05,"",""
19602,"2024-08-14 02:08:59.587920","train",5,"","",0.5745290154255771,0.7292705551724862
19602,"2024-08-14 02:12:26.692444","val",5,"","",0.5757252104600704,0.7302068496270141
19680,"2024-08-14 02:13:23.503914","train",6,0.11585472524166107,5.453688533037501e-05,"",""
19800,"2024-08-14 02:14:47.503494","train",6,0.13030187785625458,5.381065894400244e-05,"",""
19920,"2024-08-14 02:16:11.552477","train",6,0.15125809609889984,5.3082038373370614e-05,"",""
20040,"2024-08-14 02:17:35.653901","train",6,0.1596754789352417,5.235122161587697e-05,"",""
20160,"2024-08-14 02:18:59.770480","train",6,0.12503021955490112,5.161840726571695e-05,"",""
20280,"2024-08-14 02:20:23.878040","train",6,0.14540904760360718,5.08837944599174e-05,"",""
20400,"2024-08-14 02:21:47.952096","train",6,0.14695331454277039,5.014758282422256e-05,"",""
20520,"2024-08-14 02:23:12.078429","train",6,0.12086272239685059,4.9409972418847194e-05,"",""
20640,"2024-08-14 02:24:36.158168","train",6,0.1207461953163147,4.867116368411165e-05,"",""
20760,"2024-08-14 02:26:00.307453","train",6,0.1255732774734497,4.793135738597367e-05,"",""
20880,"2024-08-14 02:27:24.343136","train",6,0.1330062448978424,4.719075456147166e-05,"",""
21000,"2024-08-14 02:28:48.455362","train",6,0.11640989035367966,4.644955646409435e-05,"",""
21120,"2024-08-14 02:30:12.553986","train",6,0.12739421427249908,4.5707964509091574e-05,"",""
21240,"2024-08-14 02:31:36.653175","train",6,0.133419007062912,4.4966180218741144e-05,"",""
21360,"2024-08-14 02:33:00.735776","train",6,0.14737460017204285,4.4224405167586644e-05,"",""
21480,"2024-08-14 02:34:24.882499","train",6,0.17729127407073975,4.3482840927660935e-05,"",""
21600,"2024-08-14 02:35:49.043921","train",6,0.12562918663024902,4.274168901371048e-05,"",""
21720,"2024-08-14 02:37:13.117670","train",6,0.14393042027950287,4.200115082843511e-05,"",""
21840,"2024-08-14 02:38:37.191869","train",6,0.14863404631614685,4.126142760775827e-05,"",""
21960,"2024-08-14 02:40:01.404487","train",6,0.1526000201702118,4.052272036614269e-05,"",""
22080,"2024-08-14 02:41:25.635748","train",6,0.14726506173610687,3.978522984196608e-05,"",""
