"step","time","part","epoch","loss","lr","detection_map","detection_map_50","detection_map_75","detection_map_small","detection_map_medium","detection_map_large","detection_mar_1","detection_mar_10","detection_mar_100","detection_mar_small","detection_mar_medium","detection_mar_large","detection_map_I","detection_mar_100_I","detection_map_II","detection_mar_100_II","detection_map_III","detection_mar_100_III","detection_map_aVR","detection_mar_100_aVR","detection_map_aVL","detection_mar_100_aVL","detection_map_aVF","detection_mar_100_aVF","detection_map_V1","detection_mar_100_V1","detection_map_V2","detection_mar_100_V2","detection_map_V3","detection_mar_100_V3","detection_map_V4","detection_mar_100_V4","detection_map_V5","detection_mar_100_V5","detection_map_V6","detection_mar_100_V6","detection_map_waveform","detection_mar_100_waveform"
2200,"2024-08-09 13:25:55.254361","train",1,0.7449955940246582,3.6249292910508035e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2240,"2024-08-09 13:26:57.225350","train",1,0.6949766874313354,3.720608867828794e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2280,"2024-08-09 13:27:59.394480","train",1,0.6354177594184875,3.8162230737651796e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2320,"2024-08-09 13:28:59.361592","train",1,0.6073315143585205,3.911694369238334e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2360,"2024-08-09 13:30:01.924429","train",1,0.5999364852905273,4.006945330521784e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2400,"2024-08-09 13:31:01.804917","train",1,0.6356889009475708,4.1018987125720214e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2440,"2024-08-09 13:32:02.244264","train",1,0.6937407851219177,4.196477511671403e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2452,"2024-08-09 14:03:26.298859","train",1,"","",0.6647478342056274,0.9752820730209351,0.7713222503662109,0.46395614743232727,0.739884078502655,0.5910086035728455,0.6583617329597473,0.7204970121383667,0.7204970121383667,0.5113072395324707,0.7903457283973694,0.7194275856018066,0.3486986458301544,0.4145400822162628,0.5915926694869995,0.6259476542472839,0.4515347480773926,0.49343401193618774,0.8547658920288086,0.8890770673751831,0.8278492093086243,0.8691699504852295,0.6030496954917908,0.6563440561294556,0.7925664186477661,0.8467833399772644,0.8316728472709656,0.8826743364334106,0.6339601278305054,0.6875720620155334,0.7058353424072266,0.7526095509529114,0.7155752778053284,0.7722412347793579,0.6936125755310059,0.7566399574279785,0.5910086035728455,0.7194275856018066
2452,"2024-08-09 14:06:53.301975","val",1,"","",0.6702754497528076,0.9791199564933777,0.7753525972366333,0.4729406237602234,0.7442750930786133,0.5963146090507507,0.661937415599823,0.7238748669624329,0.7238748669624329,0.517970860004425,0.7927964925765991,0.7212920784950256,0.3730449080467224,0.4349408447742462,0.5882819890975952,0.621974527835846,0.45749449729919434,0.49699726700782776,0.8525216579437256,0.8888534903526306,0.8353235721588135,0.8757051825523376,0.6046845316886902,0.6571428775787354,0.7976522445678711,0.8485441207885742,0.8330039978027344,0.8832120299339294,0.6342437267303467,0.6847133636474609,0.7202790379524231,0.7614194750785828,0.7236199378967285,0.778753399848938,0.6971160173416138,0.7568243741989136,0.5963146090507507,0.7212920784950256
2480,"2024-08-09 14:07:42.760207","train",2,0.6398105621337891,4.2906050278753504e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2520,"2024-08-09 14:08:47.586926","train",2,0.5071071982383728,4.3842049272132e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2560,"2024-08-09 14:09:46.647682","train",2,0.5444480776786804,4.477201303592249e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2600,"2024-08-09 14:10:49.630390","train",2,0.49887317419052124,4.5695187403548336e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2640,"2024-08-09 14:11:48.898719","train",2,0.5589371919631958,4.661082371438466e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2680,"2024-08-09 14:12:48.577786","train",2,0.5033552050590515,4.7518179420894776e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
